timestep,elites,commoners,nature,wealth
177,0,2295.19,96.2378,133.291
178,0,2338.35,96.1696,135.822
179,0,2382.23,96.1014,138.382
180,0,2426.83,96.0257,140.988
181,0,2472.41,95.9499,143.655
182,0,2518.72,95.8742,146.367
183,0,2565.99,95.7984,149.125
184,0,2614.23,95.7226,151.928
185,0,2663.2,95.6393,154.777
186,0,2713.15,95.556,157.671
187,0,2764.06,95.4726,160.625
188,0,2815.94,95.3893,163.626
189,0,2868.79,95.306,166.686
190,0,2922.61,95.2151,169.792
191,0,2977.4,95.1241,172.959
192,0,3033.16,95.0332,176.171
193,0,3090.13,94.9423,179.444
194,0,3148.07,94.8438,182.778
195,0,3207.22,94.7453,186.172
196,0,3267.34,94.6469,189.611
197,0,3328.68,94.5484,193.111
198,0,3391.23,94.4499,196.672
199,0,3454.74,94.3438,200.293
200,0,3519.47,94.2378,203.99
201,0,3585.41,94.1317,207.748
202,0,3652.81,94.0181,211.566
203,0,3721.42,93.9044,215.445
204,0,3791.24,93.7908,219.4
205,0,3862.27,93.6771,223.415
206,0,3934.76,93.5559,227.491
207,0,4008.7,93.4347,231.643
208,0,4083.85,93.3135,235.87
209,0,4160.46,93.1923,240.158
210,0,4238.53,93.0635,244.522
211,0,4318.04,92.9347,248.961
212,0,4399.02,92.7983,253.477
213,0,4481.44,92.6619,258.061
214,0,4565.32,92.5256,262.728
215,0,4651.14,92.3892,267.455
216,0,4738.42,92.2453,272.274
217,0,4827.15,92.1013,277.183
218,0,4917.82,91.9498,282.153
219,0,5009.94,91.7983,287.213
220,0,5104.01,91.6468,292.365
221,0,5200.01,91.4952,297.577
222,0,5297.47,91.3362,302.881
223,0,5396.86,91.1695,308.275
224,0,5498.2,91.0028,313.76
225,0,5601.48,90.8361,319.336
226,0,5706.69,90.6619,325.002
227,0,5813.85,90.4876,330.76
228,0,5922.94,90.3134,336.609
229,0,6033.97,90.1316,342.548
230,0,6147.43,89.9422,348.579
231,0,6262.83,89.7528,354.7
232,0,6380.17,89.5634,360.913
233,0,6499.93,89.3664,367.216
234,0,6622.11,89.1694,373.61
235,0,6746.24,88.9649,380.125
236,0,6872.79,88.7603,386.732
237,0,7001.76,88.5482,393.429
238,0,7133.16,88.3361,400.247
239,0,7266.98,88.1164,407.156
240,0,7403.23,87.8967,414.157
241,0,7541.9,87.6694,421.278
242,0,7683.48,87.4421,428.49
243,0,7827.48,87.2072,435.824
244,0,7974.4,86.9648,443.248
245,0,8124.22,86.7224,450.794
246,0,8276.47,86.4724,458.431
247,0,8431.62,86.2224,466.189
248,0,8589.69,85.9648,474.068
249,0,8750.66,85.6996,482.038
250,0,8914.55,85.4345,490.129
251,0,9082.31,85.1617,498.341
252,0,9252.98,84.8814,506.644
253,0,9426.56,84.6011,515.069
254,0,9603.05,84.3132,523.615
255,0,9783.42,84.0177,532.281
256,0,9966.7,83.7223,541.07
257,0,10153.9,83.4192,549.979
258,0,10343.9,83.1086,559.01
259,0,10537.9,82.7904,568.101
260,0,10735.7,82.4722,577.313
261,0,10937.4,82.1465,586.647
262,0,11143,81.8131,596.102
263,0,11352.4,81.4722,605.678
264,0,11565.8,81.1237,615.375
265,0,11783,80.7676,625.193
266,0,12004.1,80.4116,635.133
267,0,12229.1,80.0479,645.194
268,0,12458.9,79.6767,655.376
269,0,12692.6,79.2979,665.68
270,0,12931.2,78.9115,676.043
271,0,13173.6,78.5176,686.529
272,0,13420.9,78.1161,697.135
273,0,13673,77.7069,707.863
274,0,13930,77.2903,718.711
275,0,14190.8,76.866,729.621
276,0,14457.5,76.4342,740.651
277,0,14729,75.9948,751.803
278,0,15005.4,75.5478,763.076
279,0,15286.6,75.0932,774.41
280,0,15573.7,74.6311,785.865
281,0,15865.5,74.1538,797.38
282,0,16163.3,73.6765,809.017
283,0,16466.5,73.1841,820.715
284,0,16774.9,72.6841,832.533
285,0,17089.1,72.1765,844.412
286,0,17409.1,71.6613,856.352
287,0,17734.9,71.1386,868.413
288,0,18068.5,70.6082,880.535
289,0,18407.9,70.0628,892.717
290,0,18753.1,69.5022,904.96
291,0,19104.2,68.934,917.263
292,0,19463,68.3582,929.627
293,0,19827.6,67.7748,942.052
294,0,20200,67.1763,954.476
295,0,20578.2,66.5702,966.961
296,0,20964.1,65.949,979.447
297,0,21357.8,65.3202,991.992
298,0,21759.3,64.6762,1004.54
299,0,22166.6,64.0247,1017.08
300,0,22581.6,63.3617,1029.6
301,0,23004.4,62.6874,1042.09
302,0,23436.9,61.998,1054.57
303,0,23877.2,61.2972,1067.06
304,0,24325.2,60.5851,1079.42
305,0,24780.9,59.8578,1091.79
306,0,25246.4,59.1191,1104.03
307,0,25719.6,58.3691,1116.27
308,0,26202.6,57.6039,1128.39
309,0,26693.2,56.8236,1140.39
310,0,27193.6,56.0319,1152.27
311,0,27703.7,55.2289,1164.03
312,0,28223.5,54.4106,1175.67
313,0,28752.9,53.5773,1187.06
314,0,29292.1,52.7288,1198.34
315,0,29841,51.8651,1209.37
316,0,30401.5,50.9901,1220.28
317,0,30971.7,50.0999,1230.94
318,0,31553.5,49.1946,1241.25
319,0,32145.1,48.2703,1251.31
320,0,32748.2,47.3347,1261.12
321,0,33361.2,46.3839,1270.58
322,0,33985.7,45.4179,1279.67
323,0,34621.8,44.4369,1288.4
324,0,35269.6,43.4406,1296.76
325,0,35932.9,42.4292,1304.64
326,0,36607.8,41.4027,1312.04
327,0,37294.4,40.361,1318.94
328,0,37992.6,39.3003,1325.37
329,0,38706.3,38.2283,1331.31
330,0,39431.6,37.1412,1336.64
331,0,40172.5,36.0389,1341.37
332,0,40925,34.9214,1345.49
333,0,41693,33.7888,1348.89
334,0,42476.6,32.641,1351.55
335,0,43271.8,31.4819,1353.49
336,0,44082.4,30.3114,1354.58
337,0,44908.7,29.1296,1354.82
338,0,45750.4,27.9364,1354.22
339,0,46607.6,26.7318,1352.64
340,0,47480.4,25.5196,1350.22
341,0,48372.5,24.2999,1346.7
342,0,49280.2,23.0745,1342.22
343,0,50203.4,21.8434,1336.64
344,0,51145.9,20.6104,1329.85
345,0,52104,19.3774,1321.98
346,0,53081.5,18.1482,1312.88
347,0,54078.4,16.9247,1302.46
348,0,55094.7,15.7087,1290.82
349,0,56126.5,14.5051,1277.85
350,0,57181.5,13.3185,1263.43
351,0,58256,12.1527,1247.67
352,0,59349.8,11.0135,1230.46
353,0,60463.1,9.9055,1211.79
354,0,61595.7,8.83539,1191.67
355,0,62751.6,7.80884,1170.09
356,0,63930.8,6.83154,1147.06
357,0,65129.4,5.90916,1122.58
358,0,66353.8,5.04787,1096.64
359,0,67595.1,4.25286,1069.24
360,0,68867.4,3.5292,1040.39
361,0,70162.9,2.87956,1010.21
362,0,71481.8,2.30615,978.753
363,0,72823.9,1.80969,946.024
364,0,74189.2,1.38875,912.023
365,0,75577.9,1.04002,876.871
366,0,76997.6,0.758522,840.627
367,0,78440.5,0.537516,803.353
368,0,79914.5,0.36921,765.11
369,0,81411.8,0.245183,725.897
370,0,82940,0.157039,685.835
371,0,84499.4,0.0967413,644.864
372,0,86082,0.0571524,603.044
373,0,87695.6,0.0322862,560.376
374,0,89340.2,0.0173838,516.86
375,0,91015.9,0.00888859,472.528
376,0,92722.6,0.00429844,427.345
